DATE,DEXUSEU
1/3/2022,1.129
1/4/2022,1.1296
1/5/2022,1.1335
1/6/2022,1.1307
1/7/2022,1.1358
1/10/2022,1.1328
1/11/2022,1.1363
1/12/2022,1.1431
1/13/2022,1.1464
1/14/2022,1.1414
1/17/2022,.
1/18/2022,1.1336
1/19/2022,1.1346
1/20/2022,1.1336
1/21/2022,1.1346
1/24/2022,1.131
1/25/2022,1.1283
1/26/2022,1.1279
1/27/2022,1.1141
1/28/2022,1.116
1/31/2022,1.1212
2/1/2022,1.1239
2/2/2022,1.1299
2/3/2022,1.1425
2/4/2022,1.1455
2/7/2022,1.1434
2/8/2022,1.1416
2/9/2022,1.1435
2/10/2022,1.1487
2/11/2022,1.1404
2/14/2022,1.1306
2/15/2022,1.1363
2/16/2022,1.1381
2/17/2022,1.1364
2/18/2022,1.1327
2/21/2022,.
2/22/2022,1.1342
2/23/2022,1.1316
2/24/2022,1.1154
2/25/2022,1.1261
2/28/2022,1.1224
3/1/2022,1.1103
3/2/2022,1.1102
3/3/2022,1.1053
3/4/2022,1.0912
3/7/2022,1.086
3/8/2022,1.0881
3/9/2022,1.1069
3/10/2022,1.1007
3/11/2022,1.0937
3/14/2022,1.0979
3/15/2022,1.0974
3/16/2022,1.0996
3/17/2022,1.111
3/18/2022,1.1044
3/21/2022,1.1048
3/22/2022,1.1022
3/23/2022,1.1001
3/24/2022,1.1006
3/25/2022,1.0985
3/28/2022,1.0977
3/29/2022,1.1104
3/30/2022,1.1163
3/31/2022,1.1093
4/1/2022,1.1043
4/4/2022,1.0992
4/5/2022,1.0921
4/6/2022,1.0913
4/7/2022,1.09
4/8/2022,1.0874
4/11/2022,1.0875
4/12/2022,1.0852
4/13/2022,1.0874
4/14/2022,1.0796
4/15/2022,1.0812
4/18/2022,1.0785
4/19/2022,1.0789
4/20/2022,1.0857
4/21/2022,1.0839
4/22/2022,1.079
4/25/2022,1.0703
4/26/2022,1.0661
4/27/2022,1.0549
4/28/2022,1.05
4/29/2022,1.0537
5/2/2022,1.0521
5/3/2022,1.0532
5/4/2022,1.0539
5/5/2022,1.0507
5/6/2022,1.0572
5/9/2022,1.0559
5/10/2022,1.0531
5/11/2022,1.0537
5/12/2022,1.0376
5/13/2022,1.041
5/16/2022,1.042
5/17/2022,1.0532
5/18/2022,1.0494
5/19/2022,1.0587
5/20/2022,1.0559
5/23/2022,1.0668
5/24/2022,1.0744
5/25/2022,1.0658
5/26/2022,1.0725
5/27/2022,1.0709
5/30/2022,.
5/31/2022,1.0731
6/1/2022,1.0646
6/2/2022,1.0733
6/3/2022,1.0721
6/6/2022,1.0699
6/7/2022,1.0697
6/8/2022,1.074
6/9/2022,1.0656
6/10/2022,1.0521
6/13/2022,1.0436
6/14/2022,1.0416
6/15/2022,1.0388
6/16/2022,1.0531
6/17/2022,1.0473
6/20/2022,.
6/21/2022,1.0548
6/22/2022,1.0583
6/23/2022,1.0503
6/24/2022,1.0539
6/27/2022,1.0601
6/28/2022,1.0534
6/29/2022,1.0477
6/30/2022,1.0469
7/1/2022,1.0409
7/4/2022,.
7/5/2022,1.0254
7/6/2022,1.0173
7/7/2022,1.0159
7/8/2022,1.0178
7/11/2022,1.0088
7/12/2022,1.0069
7/13/2022,1.0081
7/14/2022,1.0028
7/15/2022,1.0089
7/18/2022,1.016
7/19/2022,1.0238
7/20/2022,1.0217
7/21/2022,1.0197
7/22/2022,1.0225
7/25/2022,1.0211
7/26/2022,1.0116
7/27/2022,1.0108
7/28/2022,1.0163
7/29/2022,1.0202
8/1/2022,1.027
8/2/2022,1.0194
8/3/2022,1.0146
8/4/2022,1.0221
8/5/2022,1.017
8/8/2022,1.0207
8/9/2022,1.0226
8/10/2022,1.0337
8/11/2022,1.0338
8/12/2022,1.0257
8/15/2022,1.0186
8/16/2022,1.0174
8/17/2022,1.0164
8/18/2022,1.0114
8/19/2022,1.0039
8/22/2022,0.9936
8/23/2022,0.9976
8/24/2022,0.9967
8/25/2022,0.9959
8/26/2022,0.9998
8/29/2022,1
8/30/2022,1.0018
8/31/2022,1.0065
9/1/2022,0.995
9/2/2022,1.003
9/5/2022,.
9/6/2022,0.9914
9/7/2022,0.9942
9/8/2022,0.9956
9/9/2022,1.0046
9/12/2022,1.0129
9/13/2022,0.9997
9/14/2022,0.9993
9/15/2022,0.9991
9/16/2022,1.0013
9/19/2022,1.0003
9/20/2022,0.9994
9/21/2022,0.988
9/22/2022,0.9841
9/23/2022,0.9719
9/26/2022,0.9623
9/27/2022,0.9616
9/28/2022,0.9681
9/29/2022,0.9774
9/30/2022,0.9783
